lemma,left,right,log_ratio,abs_log_ratio
compiler,11,7,0.5849625007,0.5849625007
cac,26,17,0.5849625007,0.5849625007
fascho,8,5,0.5849625007,0.5849625007
minable,124,186,-0.5811101752,0.5811101752
législative,171,114,0.5807747038,0.5807747038
citer,334,223,0.5806623633,0.5806623633
rencontre,328,219,0.5805840602,0.5805840602
semaine,1279,855,0.5804611085,0.5804611085
r,183,274,-0.5797258524,0.5797258524
end,235,157,0.5788623012,0.5788623012
pétition,335,224,0.5785362316,0.5785362316
conviction,143,214,-0.5782678481,0.5782678481
sportif,214,143,0.5782678481,0.5782678481
nuire,68,102,-0.5779760704,0.5779760704
occasion,505,338,0.5778521116,0.5778521116
approuver,66,99,-0.5777669993,0.5777669993
vache,66,99,-0.5777669993,0.5777669993
ordonner,56,84,-0.576500922,0.576500922
cliquer,56,84,-0.576500922,0.576500922
lot,75,50,0.5755021715,0.5755021715
banc,75,50,0.5755021715,0.5755021715
pensée,503,750,-0.575389174,0.575389174
peur,805,1200,-0.5753844072,0.5753844072
âgé,93,139,-0.5746941653,0.5746941653
énormément,139,93,0.5746941653,0.5746941653
américain,641,955,-0.5744373209,0.5744373209
franchement,544,365,0.5744125814,0.5744125814
inférieur,44,66,-0.5742360941,0.5742360941
lorsque,259,386,-0.5738219431,0.5738219431
flash,42,63,-0.5737352453,0.5737352453
renaître,42,63,-0.5737352453,0.5737352453
acceptable,63,42,0.5737352453,0.5737352453
john,63,42,0.5737352453,0.5737352453
étiquette,40,60,-0.5731853329,0.5731853329
taxer,118,176,-0.5727877868,0.5727877868
zapper,38,57,-0.5725787763,0.5725787763
plaie,38,57,-0.5725787763,0.5725787763
bientôt,504,750,-0.5725295199,0.5725295199
😵,73,109,-0.5719063479,0.5719063479
héros,106,158,-0.5714159689,0.5714159689
pêche,51,34,0.5711567012,0.5711567012
catherine,51,34,0.5711567012,0.5711567012
amélioration,51,34,0.5711567012,0.5711567012
laid,34,51,-0.5711567012,0.5711567012
succession,34,51,-0.5711567012,0.5711567012
planter,67,100,-0.5707486415,0.5707486415
comparaison,149,100,0.5706072077,0.5706072077
jusque,32,48,-0.5703157248,0.5703157248
hey,48,32,0.5703157248,0.5703157248
degré,238,160,0.5699499299,0.5699499299
🤡,1432,2126,-0.5697814237,0.5697814237
hitler,158,235,-0.5697600941,0.5697600941
ainsi,633,940,-0.5697118826,0.5697118826
piss,30,45,-0.5693656457,0.5693656457
